case_id,room_type,is_nlos,gamma_cp_3_fp_only,ar_db_at_los,xpd_db_at_los
290,C,1,0.504007196196465,17.547859649156,-2.31748561220716
291,C,1,0.703096818634273,10.8605248515805,5.11843308290814
292,A,1,1.18243360256473,14.0503603183188,3.49238881515389
293,A,1,0.805235785864225,18.5461914577569,2.06333769624357
294,B,0,1.83306058830415,2.71114235473743,16.2039610429049
295,A,1,0.768483065378805,10.8605248515805,5.11843308290814
296,C,1,0.656736824869926,8.51477003752867,-6.85247359760174
297,A,1,0.418360545066291,23.2189656310124,-1.20112254473655
298,A,1,1.51638824928211,31.8335578998552,-0.444898911896359
299,B,1,0.277921924863014,2.82375466542522,15.8563781298834
300,C,0,1.84375242273154,2.71114235473743,16.2039610429049
301,C,1,1.87946664278225,21.2124021915617,1.51468673137611
302,C,1,1.73897538509935,21.1923256534515,1.51820967702377
303,C,1,0.808773809691742,7.32421125089109,7.99600054140356
304,C,1,1.90977839640456,3.22670572001011,14.7207927204045
305,B,1,0.19945499292215,15.1942112318718,-3.05189685088011
306,B,1,0.639785052372025,3.22518827459064,14.724786014966
307,A,1,0.13296908682445,3.99465901041947,-12.91852652275
308,B,1,0.704641714434454,10.5204507099285,5.33562872637395
309,B,1,8.05441874530001,1.39553365018998,21.9207363627009
310,C,1,1.15633913241056,9.17745351454848,6.30169314969487
311,B,1,0.0766951741166442,12.1000916804575,-4.40568630372982
312,C,1,0.24417200627461,3.56487236845868,13.8767472153622
313,B,1,1.81180454279456,10.8217703836469,-5.1426789579125
314,A,1,0.840819852290626,18.9986540854568,1.95769337145057
315,C,1,0.414248569725606,8.43006061021218,6.92693580786123
316,A,1,2.21097471469342,6.14807121442431,9.37451458049861
317,C,1,0.474955178653853,7.56420188612937,7.74750939049757
318,C,1,0.274778917803641,1.19580034932832,23.2574163649376
319,A,1,1.46113188991315,45.7109323940229,0.0900122400206099
320,B,1,1.2075890294364,1.68836711453107,-20.2748370399449
321,B,1,0.806597070489824,18.9986540854568,1.95769337145057
322,C,1,4.54099808674458,5.24387198932062,-10.6621955738042
323,B,1,2.02221992202131,1.84402032067003,19.5141103962096
324,C,1,2.15374838556477,1.88539219844607,19.32286271308
325,C,1,0.83317865698642,29.3351390554205,0.593275137094517
326,A,1,0.873045523302198,18.8425557943164,-1.99350373066567
327,C,0,2.07718012546142,9.82137332993814,5.81551313297753
328,C,1,0.859225344766438,2.61598685350076,16.5094858781335
329,A,1,0.761884095508364,28.1244528132422,0.682094843227642
330,A,1,1.20925893557995,7.04946683117358,8.29302731907469
331,A,1,0.859267034111483,8.07186015072426,-7.25281881704434
332,A,1,1.06096649431023,8.07928383438028,7.24587812875357
333,C,1,1.98385509334774,10.7200347036061,-5.2069391139076
334,C,1,3.67783616568971,10.9733583075287,-5.04856241382416
335,B,0,0.707399418628803,5.13507169824719,10.8339078381354
336,C,1,1.24558221711352,7.37188110287082,-7.94585085007856
337,B,1,1.72336031838232,7.95595011289252,7.36225066437732
338,A,1,0.682309039141512,6.66079071596141,8.73799972987031
339,A,1,1.70313233230862,24.4903401436071,-1.03715312248885
340,A,1,0.818827439170076,10.0185928877196,5.67534305615975
341,A,0,1.70211039914748,2.68725976497536,-16.2795913337641
342,C,1,1.10002638683194,12.1177662179547,4.39634273783492
343,A,1,0.713016754812329,10.2889763756873,5.48937559472645
344,A,1,0.0609781834956474,1.72846915392164,-20.0722507531167
345,C,1,0.44168569447078,5.53643637142778,-10.2195828517525
346,C,1,2.63144892580234,1.6453568886275,20.4976026995373
347,A,1,0.773594078984646,21.1923256534565,1.51820967702289
348,B,1,1.45319552306817,24.5551546348751,1.02942451278956
349,C,1,4.95479213600925,3.86354821868996,13.1987403389634
350,B,1,0.641326115035271,5.33122580274316,10.5271896757561
351,C,1,0.877997398419552,18.8366306879013,1.99487605586127
352,A,1,0.387916902069959,3.73214820266587,13.4899232367207
