stage,cp_feature,cir_feature,pearson,spearman,abs_pearson,abs_spearman
stage1,lambda_l_late_fraction,k_factor_estimate,-0.5005979478722046,-0.4733105085900565,0.5005979478722046,0.4733105085900565
stage1,lambda_l_late_fraction,fp_to_total_ratio,-0.503752593783911,-0.4733105085900565,0.503752593783911,0.4733105085900565
stage1,s3_late,skewness_total,0.4737174369210527,0.4726646569627397,0.4737174369210527,0.4726646569627397
stage1,xpr_late_db,skewness_total,0.43941414176692495,0.4726646569627397,0.43941414176692495,0.4726646569627397
stage1,cp_phase_residual_circvar,mean_excess_delay,0.36619327722611755,0.470829602092178,0.36619327722611755,0.470829602092178
stage1,s3_all,kurtosis_total,0.5114679941796482,0.4701563700173744,0.5114679941796482,0.4701563700173744
stage1,xpr_all_db,kurtosis_total,0.46980175474978647,0.4701563700173744,0.46980175474978647,0.4701563700173744
stage1,delta_tau_l_given_r_s,mean_excess_delay,-0.18497363671666436,-0.4666300992078334,0.18497363671666436,0.4666300992078334
stage1,s3_late,kurtosis_total,0.506388954239483,0.46227088691898743,0.506388954239483,0.46227088691898743
stage1,xpr_late_db,kurtosis_total,0.4596300155095738,0.46227088691898743,0.4596300155095738,0.46227088691898743
stage1,s3_all,fp_to_total_ratio,0.5077749045937567,0.4621770820196758,0.5077749045937567,0.4621770820196758
stage1,xpr_all_db,k_factor_estimate,0.47599334321696546,0.4621770820196758,0.47599334321696546,0.4621770820196758
stage1,xpr_all_db,fp_to_total_ratio,0.482275353189893,0.4621770820196758,0.482275353189893,0.4621770820196758
stage1,s3_all,k_factor_estimate,0.5043662971846001,0.4621770820196758,0.5043662971846001,0.4621770820196758
stage1,lambda_l_late_fraction,rise_time_fp,0.39097648571183674,0.460815106192321,0.39097648571183674,0.460815106192321
stage1,cp_phase_residual_circvar,skewness_total,-0.38231702267988277,-0.4568158112017568,0.38231702267988277,0.4568158112017568
stage1,s3_fp,num_significant_peaks,-0.2827007504994336,-0.4521517770448244,0.2827007504994336,0.4521517770448244
stage1,xpr_fp_db,num_significant_peaks,-0.3176648672763224,-0.4521511235015093,0.3176648672763224,0.4521511235015093
stage1,gamma_anchor_linear,num_significant_peaks,0.14993225142783373,0.4521511235015093,0.14993225142783373,0.4521511235015093
stage1,lambda_l_late_fraction,skewness_total,-0.47402060677171876,-0.450727544747505,0.47402060677171876,0.450727544747505
stage1,xpr_late_db,fp_to_total_ratio,0.4691709076469913,0.44816695735188417,0.4691709076469913,0.44816695735188417
stage1,xpr_late_db,k_factor_estimate,0.4628506881608395,0.44816695735188417,0.4628506881608395,0.44816695735188417
stage1,s3_late,k_factor_estimate,0.49858179074774434,0.44816695735188417,0.49858179074774434,0.44816695735188417
stage1,s3_late,fp_to_total_ratio,0.5020552897451022,0.44816695735188417,0.5020552897451022,0.44816695735188417
stage1,gamma_anchor_linear,max_excess_delay,0.15424636729076216,0.44197508471372043,0.15424636729076216,0.44197508471372043
stage1,xpr_fp_db,max_excess_delay,-0.19174168644818998,-0.44197508471372043,0.19174168644818998,0.44197508471372043
stage1,s3_fp,max_excess_delay,-0.15980190546386278,-0.4419744350658936,0.15980190546386278,0.4419744350658936
stage1,f_r_fp,energy_concentration_50ns,0.656533161809923,0.44090436810048533,0.656533161809923,0.44090436810048533
stage1,f_r_fp,rms_delay_spread,-0.6169392150353729,-0.44006379467375495,0.6169392150353729,0.44006379467375495
stage1,lambda_l_late_fraction,kurtosis_total,-0.5022421987949405,-0.44002301244700137,0.5022421987949405,0.44002301244700137
stage1,delta_tau_l_given_r_s,energy_concentration_50ns,0.18112514424283221,0.4398291624192148,0.18112514424283221,0.4398291624192148
stage1,delta_tau_l_given_r_s,rms_delay_spread,-0.3108479775383307,-0.43963121083909035,0.3108479775383307,0.43963121083909035
stage1,cp_phase_residual_circvar,num_significant_peaks,0.34925423984195336,0.42920161631095066,0.34925423984195336,0.42920161631095066
stage1,cp_phase_residual_circvar,rms_delay_spread,0.345132219418533,0.4278192506465834,0.345132219418533,0.4278192506465834
stage1,cp_phase_residual_circvar,energy_concentration_50ns,-0.364617289933779,-0.4244544742727194,0.364617289933779,0.4244544742727194
stage1,f_r_fp,num_significant_peaks,-0.6059447579008862,-0.423003919191664,0.6059447579008862,0.423003919191664
stage1,cp_phase_slope_delay_s,mean_excess_delay,-0.2155750145154459,-0.4223241531471281,0.2155750145154459,0.4223241531471281
stage1,cp_phase_residual_circvar,peak_to_avg_ratio,-0.3791999797158911,-0.42022139469126607,0.3791999797158911,0.42022139469126607
stage1,cp_phase_residual_circvar,kurtosis_total,-0.3701569391903228,-0.419498808833201,0.3701569391903228,0.419498808833201
stage1,gamma_delay_linear,max_excess_delay,0.3747092799948307,0.4119323031424525,0.3747092799948307,0.4119323031424525
stage1,delta_f_l_minus_r_fp,mean_excess_delay,0.4988909840247846,0.4114231208247912,0.4988909840247846,0.4114231208247912
stage1,delta_tau_l_given_r_s,num_significant_peaks,-0.11722368743467598,-0.4086003738719102,0.11722368743467598,0.4086003738719102
stage1,gamma_delay_linear,num_significant_peaks,0.34388374576385305,0.403027272933727,0.34388374576385305,0.403027272933727
stage1,delta_p_l_given_r_db,max_excess_delay,-0.2491999435403351,-0.39794245531180633,0.2491999435403351,0.39794245531180633
stage1,delta_f_l_minus_r_fp,rise_time_fp,0.40933170608102215,0.3973167271983406,0.40933170608102215,0.3973167271983406
stage1,delta_tau_l_given_r_s,rise_time_fp,-0.2392732181502909,-0.39342436880487514,0.2392732181502909,0.39342436880487514
stage1,delta_f_l_minus_r_fp,fp_kurtosis,0.2860205168679692,0.38796465613153264,0.2860205168679692,0.38796465613153264
stage1,cp_phase_slope_delay_s,energy_concentration_50ns,0.21770531474146496,0.38790463110051454,0.21770531474146496,0.38790463110051454
stage1,cp_phase_slope_delay_s,rms_delay_spread,-0.28656689808527214,-0.3858833793203755,0.28656689808527214,0.3858833793203755
stage1,delta_p_l_given_r_db,num_significant_peaks,-0.3618030709511766,-0.3776772039052371,0.3618030709511766,0.3776772039052371
stage1,cp_phase_slope_delay_s,num_significant_peaks,-0.1717192793153362,-0.376530273395491,0.1717192793153362,0.376530273395491
stage1,s3_all,num_significant_peaks,-0.30125769570731004,-0.3718157271792333,0.30125769570731004,0.3718157271792333
stage1,xpr_all_db,num_significant_peaks,-0.30991732508393127,-0.3718157271792333,0.30991732508393127,0.3718157271792333
stage1,xpr_late_db,num_significant_peaks,-0.302928828682133,-0.3656378673701775,0.302928828682133,0.3656378673701775
stage1,s3_late,num_significant_peaks,-0.2989522625652826,-0.3656378673701775,0.2989522625652826,0.3656378673701775
stage1,delta_f_l_minus_r_fp,energy_concentration_50ns,-0.493789497855099,-0.3623030140336682,0.493789497855099,0.3623030140336682
stage1,cp_phase_slope_delay_s,max_excess_delay,-0.10979353252911182,-0.35959857437802245,0.10979353252911182,0.35959857437802245
stage1,delta_f_l_minus_r_fp,rms_delay_spread,0.4697185183962993,0.35853976205997357,0.4697185183962993,0.35853976205997357
stage1,xpr_all_db,max_excess_delay,-0.19831249202601728,-0.35809004449877885,0.19831249202601728,0.35809004449877885
stage1,s3_all,max_excess_delay,-0.18896950776810315,-0.35809004449877885,0.18896950776810315,0.35809004449877885
stage1,lambda_l_late_fraction,num_significant_peaks,0.3029856166361471,0.3575084758866247,0.3029856166361471,0.3575084758866247
stage1,s3_late,max_excess_delay,-0.18818550776637613,-0.34973215019518605,0.18818550776637613,0.34973215019518605
stage1,xpr_late_db,max_excess_delay,-0.195502393035198,-0.34973215019518605,0.195502393035198,0.34973215019518605
stage1,cp_phase_slope_delay_s,rise_time_fp,-0.23499611719481966,-0.34961072863301057,0.23499611719481966,0.34961072863301057
stage1,lambda_l_late_fraction,max_excess_delay,0.20661603304511025,0.34407847207489844,0.20661603304511025,0.34407847207489844
stage1,delta_tau_l_given_r_s,max_excess_delay,-0.04780597227486199,-0.3419521330596961,0.04780597227486199,0.3419521330596961
stage1,cp_phase_slope_delay_s,k_factor_estimate,0.28399373347410656,0.3381072446785827,0.28399373347410656,0.3381072446785827
stage1,cp_phase_slope_delay_s,fp_to_total_ratio,0.2882960928150823,0.3381072446785827,0.2882960928150823,0.3381072446785827
stage1,delta_f_l_minus_r_fp,num_significant_peaks,0.4315972671833716,0.3193891071121097,0.4315972671833716,0.3193891071121097
