x_var,y_var,x_index,y_index,x_label,y_label,n,auc_cir,auc_joint,delta_auc
eps_r,xpol_coupling_db,4,3,"[6.80, 8.40]","[28.00, 32.00]",112,0.84945652173913,0.905434782608696,0.0559782608695653
eps_r,xpol_coupling_db,5,3,"[8.40, 10.00]","[28.00, 32.00]",123,0.949557522123894,0.979646017699115,0.0300884955752213
eps_r,xpol_coupling_db,1,4,"[2.00, 3.60]","[32.00, 36.00]",124,0.817014446227929,0.854574638844302,0.0375601926163724
eps_r,xpol_coupling_db,2,4,"[3.60, 5.20]","[32.00, 36.00]",133,0.78989898989899,0.834848484848485,0.044949494949495
eps_r,xpol_coupling_db,3,4,"[5.20, 6.80]","[32.00, 36.00]",113,0.79047619047619,0.869387755102041,0.0789115646258504
eps_r,xpol_coupling_db,4,4,"[6.80, 8.40]","[32.00, 36.00]",120,0.792207792207792,0.843692022263451,0.0514842300556587
eps_r,xpol_coupling_db,5,4,"[8.40, 10.00]","[32.00, 36.00]",110,0.951625693893735,1,0.0483743061062648
eps_r,xpol_coupling_db,1,5,"[2.00, 3.60]","[36.00, 40.00]",109,0.77032967032967,0.83040293040293,0.0600732600732602
eps_r,xpol_coupling_db,2,5,"[3.60, 5.20]","[36.00, 40.00]",130,0.707298136645963,0.835662525879917,0.128364389233954
eps_r,xpol_coupling_db,3,5,"[5.20, 6.80]","[36.00, 40.00]",129,0.721721721721722,0.73973973973974,0.0180180180180179
eps_r,xpol_coupling_db,4,5,"[6.80, 8.40]","[36.00, 40.00]",113,0.920103092783505,0.957474226804124,0.0373711340206185
eps_r,xpol_coupling_db,5,5,"[8.40, 10.00]","[36.00, 40.00]",119,0.763265306122449,0.917687074829932,0.154421768707483
eps_r,snr_db,1,1,"[2.00, 3.60]","[10.00, 16.00]",116,0.704985119047619,0.867559523809524,0.162574404761905
eps_r,snr_db,2,1,"[3.60, 5.20]","[10.00, 16.00]",111,0.699351117519827,0.773612112472963,0.0742609949531361
eps_r,snr_db,3,1,"[5.20, 6.80]","[10.00, 16.00]",116,0.8375,0.9421875,0.1046875
eps_r,snr_db,4,1,"[6.80, 8.40]","[10.00, 16.00]",132,0.865301724137931,0.929418103448276,0.0641163793103448
eps_r,snr_db,5,1,"[8.40, 10.00]","[10.00, 16.00]",125,0.744761904761905,0.879047619047619,0.134285714285714
eps_r,snr_db,1,2,"[2.00, 3.60]","[16.00, 22.00]",124,0.745238095238095,0.836607142857143,0.0913690476190476
eps_r,snr_db,2,2,"[3.60, 5.20]","[16.00, 22.00]",115,0.750960307298336,0.789052496798976,0.0380921895006401
eps_r,snr_db,3,2,"[5.20, 6.80]","[16.00, 22.00]",131,0.826576576576576,0.865315315315315,0.0387387387387389
eps_r,snr_db,4,2,"[6.80, 8.40]","[16.00, 22.00]",127,0.906666666666667,0.981960784313725,0.0752941176470588
eps_r,snr_db,5,2,"[8.40, 10.00]","[16.00, 22.00]",103,0.93265306122449,1,0.0673469387755101
eps_r,snr_db,1,3,"[2.00, 3.60]","[22.00, 28.00]",118,0.705882352941177,0.783263305322129,0.0773809523809523
eps_r,snr_db,2,3,"[3.60, 5.20]","[22.00, 28.00]",115,0.728636660143509,0.777886497064579,0.0492498369210698
eps_r,snr_db,3,3,"[5.20, 6.80]","[22.00, 28.00]",121,0.830578512396694,0.856749311294766,0.0261707988980718
eps_r,snr_db,4,3,"[6.80, 8.40]","[22.00, 28.00]",125,0.792149292149292,0.878700128700129,0.0865508365508365
eps_r,snr_db,5,3,"[8.40, 10.00]","[22.00, 28.00]",121,0.984962406015038,0.93859649122807,-0.0463659147869675
eps_r,snr_db,1,4,"[2.00, 3.60]","[28.00, 34.00]",117,0.773088023088023,0.857142857142857,0.084054834054834
eps_r,snr_db,2,4,"[3.60, 5.20]","[28.00, 34.00]",141,0.760072430964237,0.828429153463105,0.0683567224988683
eps_r,snr_db,3,4,"[5.20, 6.80]","[28.00, 34.00]",109,0.775438596491228,0.894152046783626,0.118713450292398
